################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.0743253722073002E+01   1.6952381657372069E+00   1.6700199787896743E+00
         1          2  -6.8051060926918365E-17   7.0842023768664175E+00   8.5499306026513705E-02   2.4597822089387125E-01
         1          3   0.0000000000000000E+00   4.9942964198905040E+00   1.2726241131737765E+00   1.3158546877916473E+00
         1          4   0.0000000000000000E+00   1.0027651463107977E+01   1.5691162031878532E+00   1.5409282765662469E+00
         1          5  -5.2209643484013289E-17   6.6287415884869292E+00   7.7050693722028565E-02   2.2642123665957903E-01
         1          6   0.0000000000000000E+00   4.6624728619219651E+00   1.1835457887504293E+00   1.2246919719139475E+00
         1          7   0.0000000000000000E+00   8.8945857960513415E+00   1.3549808061220263E+00   1.3210881665781666E+00
         1          8  -3.0731402604437224E-17   5.8326928196619425E+00   6.2951658018056120E-02   1.9369486221320506E-01
         1          9   0.0000000000000000E+00   4.1011290399130216E+00   1.0274129767237159E+00   1.0648962411147564E+00
         1         10   0.0000000000000000E+00   7.4079361747871726E+00   1.0676314895373160E+00   1.0255150934085946E+00
         1         11  -1.1838027937050006E-17   4.6997585493789664E+00   4.4659837540811105E-02   1.5081685905851847E-01
         1         12   0.0000000000000000E+00   3.3113308225291025E+00   8.0494689054559809E-01   8.3714402735318993E-01
         1         13   0.0000000000000000E+00   5.4913020307904468E+00   7.5347812040202522E-01   7.0571043478951712E-01
         1         14  -2.1714041090017275E-18   3.3117689146157376E+00   2.5911491292369363E-02   1.0507281186877965E-01
         1         15   0.0000000000000000E+00   2.3317644711947749E+00   5.3534566105212189E-01   5.6084719304917885E-01
         1         16   0.0000000000000000E+00   3.3740785441158123E+00   4.8330864185710737E-01   4.4696096624511805E-01
         1         17  -9.5224218596245698E-20   1.8572729374677430E+00   1.1718638458751261E-02   6.4535010130561135E-02
         1         18   0.0000000000000000E+00   1.3595466969861632E+00   2.6691844328750192E-01   2.8474503625442366E-01
         1         19   0.0000000000000000E+00   1.7848827351022136E+00   3.0700069362648191E-01   2.9856570649882286E-01
         1         20  -3.1112097232475171E-22   7.6175597288366059E-01   4.5363930615956180E-03   3.3775263280418549E-02
         1         21   0.0000000000000000E+00   6.3856109859754351E-01   8.2356935582851828E-02   9.2314235621336005E-02
         1         22   0.0000000000000000E+00   1.1767610273772917E+00   1.9089529330668883E-01   1.9704211946275380E-01
         1         23  -1.3891449346602950E-26   4.2190789070859858E-01   1.5493952507034670E-03   1.3612797459636483E-02
         1         24   0.0000000000000000E+00   3.9926626554611500E-01   1.2181438153951953E-02   1.5804137941891332E-02
         1         25   0.0000000000000000E+00   7.3641017353249261E+00   1.3176514971252951E-01   3.4960926524761859E-01
         1         26   0.0000000000000000E+00   8.4404493497772481E-01   2.4797592479017983E-03   2.0562508241277640E-02
         1         27   0.0000000000000000E+00   1.5849766722305858E+00   4.2166253975715079E-02   8.7374898421967814E-02
         1         28  -7.2990649190430920E-20   2.2363371178960785E+00   8.8328371035751988E-04   3.7971115094068350E-02
         1         29   0.0000000000000000E+00   9.8416577351609169E-01   7.8938701854051972E-03   2.9137269574678368E-02
         1         30  -1.8869265007675880E-18   1.2212113990598059E+00   7.5618363550011392E-02   1.0036139627744030E-01
         1         31   0.0000000000000000E+00   1.6941807405427973E+01   3.3292071781520294E-01   8.7986937606491766E-01
         1         32   0.0000000000000000E+00   2.2885861831352430E+00   1.3766989046038730E-02   1.3241057396755038E-01
         1         33   0.0000000000000000E+00   3.7839323250414227E+00   1.3962290713371725E-01   2.5046068078703565E-01
         1         34  -2.6849543002735553E-19   4.6624962043759481E+00   2.1062380520996396E-03   8.5341607469729561E-02
         1         35   0.0000000000000000E+00   2.1115159289057575E+00   2.7043216058192786E-02   7.8328973047580061E-02
