################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2132877122618153E-01 a         1     0     1     1     1
  3.0203292357256286E+00 a         2     0     1     1     2
  7.9880433244251414E-01 a         3     0     1     1     3
 -9.8544567980841091E-01 a         4     0     1     1     4
 -1.2985729247264727E-01 a         5     0     1     1     5
 -7.0127905893250975E-01 a         6     0     1     1     6
 -1.8875560616042625E-01 a         7     0     1     1     7
  4.9385832229934618E-01 a         8     0     1     1     8
 -7.5656801260061546E-01 a         9     0     1     1     9
  2.1620785348539626E-01 a        10     0     1     1    10
 -3.8793930093899548E-01 a        11     0     1     1    11
 -1.1469374793372770E-01 a        12     0     1     1    12
 -2.0729550427624144E-01 a        13     0     1     1    13
  1.7071005320886945E-01 a        14     0     1     1    14
 -5.1199337813848911E-01 a        15     0     1     1    15
 -3.1265622432480726E+00 a        16     0     2     1     1
  1.5830041500884120E+00 a        17     0     2     1     2
  6.7020740820958946E-01 a        18     0     2     1     3
  2.5680674578801717E+00 a        19     0     2     1     4
 -2.9328352425159004E-01 a        20     0     2     1     5
 -5.2230093107681537E+00 a        21     0     2     1     6
  2.3303518640726382E+00 a        22     0     2     1     7
 -1.4205311959894764E+00 a        23     0     2     1     8
  1.4147292052113227E+00 a        24     0     2     1     9
 -7.0537308127456066E-01 a        25     0     2     1    10
 -6.6038197448378055E-01 a        26     0     2     1    11
  3.7579898081207812E-02 a        27     0     2     1    12
  2.0839572177397736E+00 a        28     0     2     1    13
  1.9182354455108491E-01 a        29     0     2     1    14
  3.0221643211576064E+00 a        30     0     2     1    15
  2.6596023585384260E-01 a        31     0     3     1     1
  7.7110897159688985E-01 a        32     0     3     1     2
  6.4814787496649007E-01 a        33     0     3     1     3
  2.7099313844008601E+00 a        34     0     3     1     4
 -1.7808187457528990E+00 a        35     0     3     1     5
 -1.7929687329199726E+00 a        36     0     3     1     6
  2.1911832627857541E-01 a        37     0     3     1     7
  1.3508995063193161E+00 a        38     0     3     1     8
  1.6836185063190594E+00 a        39     0     3     1     9
 -1.6073730335804228E+00 a        40     0     3     1    10
  1.1037668375315304E+00 a        41     0     3     1    11
 -6.6018186913994414E-01 a        42     0     3     1    12
  6.5034243500579347E-01 a        43     0     3     1    13
 -1.3160749499289264E+00 a        44     0     3     1    14
 -2.2414568787014419E-01 a        45     0     3     1    15
  1.2659668734871454E-01 a        46     0     4     1     1
  8.6036346357009585E-01 a        47     0     4     1     2
 -4.0367053378625378E-01 a        48     0     4     1     3
  4.8154578377159957E-01 a        49     0     4     1     4
 -1.3041361356918011E+00 a        50     0     4     1     5
 -1.1606078087637807E-02 a        51     0     4     1     6
  4.5247731410497516E-01 a        52     0     4     1     7
  3.4638047323705223E-01 a        53     0     4     1     8
  8.6407715456651879E-02 a        54     0     4     1     9
 -6.8980783272100743E-01 a        55     0     4     1    10
  7.5553522046469879E-01 a        56     0     4     1    11
  7.1654462430202415E-01 a        57     0     4     1    12
 -9.9928674139568008E-01 a        58     0     4     1    13
  7.3627057729743250E-01 a        59     0     4     1    14
 -6.9181793517443491E-01 a        60     0     4     1    15
 -1.8545001046792350E-01 a        61     0     5     1     1
  1.2111601833994814E+00 a        62     0     5     1     2
  3.9585231372538543E-01 a        63     0     5     1     3
  3.0806414560567524E-01 a        64     0     5     1     4
 -8.7148560923350077E-02 a        65     0     5     1     5
 -3.8288401197172912E+00 a        66     0     5     1     6
 -5.3990309635389455E-01 a        67     0     5     1     7
  1.9653354718355764E-01 a        68     0     5     1     8
 -1.7474868754252776E-01 a        69     0     5     1     9
  7.9087431821041854E-01 a        70     0     5     1    10
 -1.4100701178512451E-01 a        71     0     5     1    11
  5.3155971710151295E-01 a        72     0     5     1    12
  4.7568281490790726E-01 a        73     0     5     1    13
 -8.6486448870455834E-01 a        74     0     5     1    14
  2.1409326575894454E+00 a        75     0     5     1    15
 -3.1928306692916864E-01 a        76     0     6     1     1
 -1.1728665007624571E-01 a        77     0     6     1     2
 -5.2599114849229622E-01 a        78     0     6     1     3
 -1.7971911804849608E-01 a        79     0     6     1     4
 -8.2739487713905335E-01 a        80     0     6     1     5
 -1.6842387551164077E+00 a        81     0     6     1     6
 -1.1386550007865794E+00 a        82     0     6     1     7
  2.6070356516077647E-01 a        83     0     6     1     8
 -3.2023491962305856E-01 a        84     0     6     1     9
  1.3838598370101163E+00 a        85     0     6     1    10
  3.2843558968110548E-01 a        86     0     6     1    11
 -6.2606103957339687E-01 a        87     0     6     1    12
  6.3894835530385852E-01 a        88     0     6     1    13
 -9.2697125110732703E-01 a        89     0     6     1    14
  7.9683930863745600E-01 a        90     0     6     1    15
 -6.2600762364761298E-01 a        91     0     7     1     1
 -1.5374073371528185E+00 a        92     0     7     1     2
 -4.3005929550841443E-01 a        93     0     7     1     3
  1.1232043293517440E+00 a        94     0     7     1     4
 -7.4368023445998943E-01 a        95     0     7     1     5
  6.2221768527133092E-01 a        96     0     7     1     6
  3.4581861517917090E-01 a        97     0     7     1     7
 -1.0956389276748852E+00 a        98     0     7     1     8
  1.3384784451076805E+00 a        99     0     7     1     9
  9.7432174130745142E-01 a       100     0     7     1    10
  5.9597798595968665E-01 a       101     0     7     1    11
 -5.7559201987387953E-01 a       102     0     7     1    12
  1.3441436943551928E+00 a       103     0     7     1    13
 -1.1631147082580822E+00 a       104     0     7     1    14
  7.5573798865785372E-02 a       105     0     7     1    15
  2.2461706152942051E+00 a       106     0     8     1     1
  2.2996216678281440E+00 a       107     0     8     1     2
 -9.5763641072472294E-01 a       108     0     8     1     3
 -8.3925397058581852E-01 a       109     0     8     1     4
 -4.3618910036211239E-01 a       110     0     8     1     5
